,NB,LR,Ridge,LDA,KNN,linSVM,rbfSVM,MLP1,MLP2,MLP WeightDecay,CART,C4.5 (J48),RF,ExtraTrees,GBDT,Bagging-SVM,Bagging-DT,Boosting-DT,Boosting-NB,Boosting-LR,Boosting-SVM,Boosting-MLP,Bagged AdaBoost,Voting,Boosted-RS,Greedy-RL
NB,0.0,0.134,0.141,0.134,0.148,0.142,0.133,0.161,0.168,0.162,0.236,0.222,0.116,0.116,0.125,0.133,0.155,0.148,0.094,0.143,0.311,0.152,0.125,0.114,0.148,0.193
LR,0.134,0.0,0.017,0.014,0.158,0.022,0.133,0.157,0.162,0.162,0.212,0.214,0.124,0.128,0.135,0.131,0.157,0.162,0.148,0.079,0.267,0.1,0.123,0.106,0.126,0.221
Ridge,0.141,0.017,0.0,0.019,0.151,0.025,0.13,0.152,0.159,0.157,0.209,0.207,0.115,0.121,0.126,0.128,0.148,0.157,0.153,0.08,0.256,0.105,0.122,0.105,0.127,0.212
LDA,0.134,0.014,0.019,0.0,0.154,0.024,0.127,0.153,0.158,0.158,0.208,0.204,0.118,0.128,0.129,0.127,0.149,0.162,0.142,0.075,0.275,0.102,0.121,0.102,0.124,0.209
KNN,0.148,0.158,0.151,0.154,0.0,0.158,0.069,0.097,0.09,0.088,0.2,0.196,0.09,0.078,0.109,0.065,0.141,0.116,0.144,0.169,0.257,0.178,0.161,0.114,0.172,0.185
linSVM,0.142,0.022,0.025,0.024,0.158,0.0,0.131,0.155,0.162,0.16,0.204,0.204,0.122,0.128,0.133,0.127,0.151,0.164,0.158,0.081,0.275,0.106,0.119,0.1,0.132,0.209
rbfSVM,0.133,0.133,0.13,0.127,0.069,0.131,0.0,0.06,0.061,0.065,0.197,0.185,0.067,0.061,0.088,0.018,0.118,0.089,0.119,0.142,0.272,0.163,0.14,0.101,0.141,0.166
MLP1,0.161,0.157,0.152,0.153,0.097,0.155,0.06,0.0,0.053,0.049,0.209,0.195,0.105,0.101,0.118,0.058,0.152,0.119,0.137,0.162,0.298,0.185,0.172,0.127,0.157,0.184
MLP2,0.168,0.162,0.159,0.158,0.09,0.162,0.061,0.053,0.0,0.02,0.202,0.198,0.108,0.1,0.119,0.057,0.147,0.122,0.15,0.173,0.291,0.192,0.165,0.126,0.16,0.185
MLP WeightDecay,0.162,0.162,0.157,0.158,0.088,0.16,0.065,0.049,0.02,0.0,0.2,0.196,0.112,0.102,0.119,0.065,0.151,0.118,0.144,0.169,0.301,0.186,0.169,0.124,0.164,0.185
CART,0.236,0.212,0.209,0.208,0.2,0.204,0.197,0.209,0.202,0.2,0.0,0.174,0.194,0.19,0.191,0.193,0.191,0.2,0.216,0.233,0.303,0.234,0.219,0.122,0.226,0.183
C4.5 (J48),0.222,0.214,0.207,0.204,0.196,0.204,0.185,0.195,0.198,0.196,0.174,0.0,0.172,0.182,0.173,0.189,0.181,0.196,0.216,0.219,0.321,0.23,0.199,0.158,0.204,0.093
RF,0.116,0.124,0.115,0.118,0.09,0.122,0.067,0.105,0.108,0.112,0.194,0.172,0.0,0.044,0.077,0.067,0.095,0.1,0.12,0.137,0.239,0.148,0.113,0.088,0.126,0.153
ExtraTrees,0.116,0.128,0.121,0.128,0.078,0.128,0.061,0.101,0.1,0.102,0.19,0.182,0.044,0.0,0.079,0.059,0.099,0.086,0.122,0.141,0.235,0.142,0.123,0.086,0.134,0.169
GBDT,0.125,0.135,0.126,0.129,0.109,0.133,0.088,0.118,0.119,0.119,0.191,0.173,0.077,0.079,0.0,0.084,0.098,0.097,0.119,0.148,0.272,0.157,0.128,0.095,0.121,0.152
Bagging-SVM,0.133,0.131,0.128,0.127,0.065,0.127,0.018,0.058,0.057,0.065,0.193,0.189,0.067,0.059,0.084,0.0,0.116,0.089,0.121,0.144,0.266,0.161,0.14,0.099,0.143,0.168
Bagging-DT,0.155,0.157,0.148,0.149,0.141,0.151,0.118,0.152,0.147,0.151,0.191,0.181,0.095,0.099,0.098,0.116,0.0,0.141,0.163,0.176,0.242,0.173,0.126,0.113,0.145,0.152
Boosting-DT,0.148,0.162,0.157,0.162,0.116,0.164,0.089,0.119,0.122,0.118,0.2,0.196,0.1,0.086,0.097,0.089,0.141,0.0,0.128,0.159,0.273,0.172,0.157,0.116,0.142,0.179
Boosting-NB,0.094,0.148,0.153,0.142,0.144,0.158,0.119,0.137,0.15,0.144,0.216,0.216,0.12,0.122,0.119,0.121,0.163,0.128,0.0,0.153,0.311,0.176,0.149,0.13,0.142,0.203
Boosting-LR,0.143,0.079,0.08,0.075,0.169,0.081,0.142,0.162,0.173,0.169,0.233,0.219,0.137,0.141,0.148,0.144,0.176,0.159,0.153,0.0,0.306,0.129,0.13,0.123,0.137,0.214
